"client_employee_id"|"department_id"|"department_name"|"home_department_id"|"home_department_name"|"pay_code"|"punch_in_comment"|"punch_out_comment"|"hours_worked"|"punch_apply_date"|"punch_in_datetime"|"punch_out_datetime"|"scheduled_start_datetime"|"scheduled_end_datetime"
"100715"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-14"|2025-10-14 19:00:00.000|2025-10-15 07:30:00.000||
"100801"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-09"|2025-10-09 07:30:00.000|2025-10-09 16:00:00.000||
"100801"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-10"|2025-10-10 07:00:00.000|2025-10-10 15:30:00.000||
"100715"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-04"|2025-10-04 07:00:00.000|2025-10-04 19:30:00.000||
"100715"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-10"|2025-10-10 07:00:00.000|2025-10-10 19:30:00.000||
"100715"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-11"|2025-10-11 19:00:00.000|2025-10-12 07:30:00.000||
"100715"|||||Hourly|[NULL]|[NULL]|6.00|"2025-10-07"|2025-10-07 23:00:00.000|2025-10-08 05:00:00.000||
"100715"|||||Hourly|[NULL]|[NULL]|8.00|"2025-10-13"|2025-10-13 19:00:00.000|2025-10-14 03:00:00.000||
"100715"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-12"|2025-10-12 19:00:00.000|2025-10-13 07:30:00.000||
"101005"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-14"|2025-10-14 11:00:00.000|2025-10-14 23:30:00.000||
"101037"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-08"|2025-10-08 15:00:00.000|2025-10-08 23:30:00.000||
"101037"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-05"|2025-10-05 19:00:00.000|2025-10-06 07:30:00.000||
"101037"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-09"|2025-10-09 19:00:00.000|2025-10-10 07:30:00.000||
"101037"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-13"|2025-10-13 19:00:00.000|2025-10-14 07:30:00.000||
"101047"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-13"|2025-10-13 15:00:00.000|2025-10-13 23:30:00.000||
"101047"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-15"|2025-10-15 15:00:00.000|2025-10-15 23:30:00.000||
"101047"|||||Perm Evening|[NULL]|[NULL]|8.00|"2025-10-09"|2025-10-09 15:00:00.000|2025-10-09 23:00:00.000||
"101047"|||||Perm Weekend Eve|[NULL]|[NULL]|8.00|"2025-10-05"|2025-10-05 15:00:00.000|2025-10-05 23:00:00.000||
"101055"|||||Per Diem|[NULL]|[NULL]|8.50|"2025-10-10"|2025-10-10 07:00:00.000|2025-10-10 15:30:00.000||
"101056"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-12"|2025-10-12 07:00:00.000|2025-10-12 19:30:00.000||
"101058"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-07"|2025-10-07 07:00:00.000|2025-10-07 19:30:00.000||
"101058"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-09"|2025-10-09 07:00:00.000|2025-10-09 19:30:00.000||
"101058"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-11"|2025-10-11 07:00:00.000|2025-10-11 19:30:00.000||
"101058"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-15"|2025-10-15 07:00:00.000|2025-10-15 19:30:00.000||
"100801"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-06"|2025-10-06 07:00:00.000|2025-10-06 15:30:00.000||
"100801"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-08"|2025-10-08 06:30:00.000|2025-10-08 15:00:00.000||
"101005"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-07"|2025-10-07 11:00:00.000|2025-10-07 23:30:00.000||
"101005"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-09"|2025-10-09 11:00:00.000|2025-10-09 23:30:00.000||
"101061"|||||Per Diem|[NULL]|[NULL]|8.50|"2025-10-11"|2025-10-11 07:00:00.000|2025-10-11 15:30:00.000||
"101061"|||||Per Diem|[NULL]|[NULL]|8.50|"2025-10-15"|2025-10-15 07:00:00.000|2025-10-15 15:30:00.000||
"101069"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-05"|2025-10-05 07:00:00.000|2025-10-05 19:30:00.000||
"101073"|||||Hourly|[NULL]|[NULL]|12.50|"2025-10-12"|2025-10-12 07:00:00.000|2025-10-12 19:30:00.000||
"104892"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-05"|2025-10-05 09:00:00.000|2025-10-05 17:30:00.000||
"104892"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-07"|2025-10-07 09:00:00.000|2025-10-07 17:30:00.000||
"104892"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-08"|2025-10-08 09:00:00.000|2025-10-08 17:30:00.000||
"104892"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-12"|2025-10-12 09:00:00.000|2025-10-12 17:30:00.000||
"104892"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-14"|2025-10-14 09:00:00.000|2025-10-14 17:30:00.000||
"104892"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-16"|2025-10-16 09:00:00.000|2025-10-16 17:30:00.000||
"104895"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-07"|2025-10-07 07:00:00.000|2025-10-07 15:30:00.000||
"104895"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-09"|2025-10-09 07:00:00.000|2025-10-09 15:30:00.000||
"104895"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-13"|2025-10-13 07:00:00.000|2025-10-13 15:30:00.000||
"104895"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-15"|2025-10-15 07:00:00.000|2025-10-15 15:30:00.000||
"104896"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-04"|2025-10-04 15:00:00.000|2025-10-04 23:30:00.000||
"104896"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-08"|2025-10-08 15:00:00.000|2025-10-08 23:30:00.000||
"104896"|||||Hourly|[NULL]|[NULL]|8.50|"2025-10-10"|2025-10-10 15:00:00.000|2025-10-10 23:30:00.000||
